"league_id","fixture_id","update","odd_type","side","odd","cet_curr_time"
129,830366,"2022-04-02T12:01:39+00:00","Match Winner","Home","2.80","2022-04-02 14:17:43"
129,830366,"2022-04-02T12:01:39+00:00","Match Winner","Draw","2.80","2022-04-02 14:17:43"
129,830366,"2022-04-02T12:01:39+00:00","Match Winner","Away","3.00","2022-04-02 14:17:43"
129,830366,"2022-04-02T12:01:39+00:00","Corners Over Under","Over 9.5","1.90","2022-04-02 14:17:43"
129,830366,"2022-04-02T12:01:39+00:00","Corners Over Under","Under 9.5","1.80","2022-04-02 14:17:43"
129,830369,"2022-04-02T12:01:39+00:00","Match Winner","Home","2.80","2022-04-02 14:17:44"
129,830369,"2022-04-02T12:01:39+00:00","Match Winner","Draw","2.80","2022-04-02 14:17:44"
129,830369,"2022-04-02T12:01:39+00:00","Match Winner","Away","2.90","2022-04-02 14:17:44"
129,830369,"2022-04-02T12:01:39+00:00","Corners Over Under","Over 9.5","1.83","2022-04-02 14:17:44"
129,830369,"2022-04-02T12:01:39+00:00","Corners Over Under","Under 9.5","1.83","2022-04-02 14:17:44"
129,830360,"2022-04-02T12:01:39+00:00","Match Winner","Home","1.95","2022-04-02 14:17:45"
129,830360,"2022-04-02T12:01:39+00:00","Match Winner","Draw","3.60","2022-04-02 14:17:45"
129,830360,"2022-04-02T12:01:39+00:00","Match Winner","Away","3.80","2022-04-02 14:17:45"
129,830360,"2022-04-02T12:01:39+00:00","Corners Over Under","Over 9.5","2.10","2022-04-02 14:17:45"
129,830360,"2022-04-02T12:01:39+00:00","Corners Over Under","Under 9.5","1.66","2022-04-02 14:17:45"
129,830362,"2022-04-01T16:01:52+00:00","Match Winner","Home","2.05","2022-04-02 14:17:46"
129,830362,"2022-04-01T16:01:52+00:00","Match Winner","Draw","3.00","2022-04-02 14:17:46"
129,830362,"2022-04-01T16:01:52+00:00","Match Winner","Away","4.33","2022-04-02 14:17:46"
129,830362,"2022-04-01T16:01:52+00:00","Corners Over Under","Over 8.5","1.72","2022-04-02 14:17:46"
129,830362,"2022-04-01T16:01:52+00:00","Corners Over Under","Under 8.5","2.00","2022-04-02 14:17:46"
129,830370,"2022-04-02T00:01:38+00:00","Match Winner","Home","1.70","2022-04-02 14:17:46"
129,830370,"2022-04-02T00:01:38+00:00","Match Winner","Draw","3.50","2022-04-02 14:17:46"
129,830370,"2022-04-02T00:01:38+00:00","Match Winner","Away","5.50","2022-04-02 14:17:46"
129,830367,"2022-04-02T00:01:38+00:00","Match Winner","Home","3.00","2022-04-02 14:17:47"
129,830367,"2022-04-02T00:01:38+00:00","Match Winner","Draw","2.87","2022-04-02 14:17:47"
129,830367,"2022-04-02T00:01:38+00:00","Match Winner","Away","2.70","2022-04-02 14:17:47"
128,831766,"2022-04-02T12:01:39+00:00","Match Winner","Home","1.60","2022-04-02 14:17:48"
128,831766,"2022-04-02T12:01:39+00:00","Match Winner","Draw","3.80","2022-04-02 14:17:48"
128,831766,"2022-04-02T12:01:39+00:00","Match Winner","Away","6.00","2022-04-02 14:17:48"
128,831766,"2022-04-02T12:01:39+00:00","Corners Over Under","Over 10.5","2.00","2022-04-02 14:17:48"
128,831766,"2022-04-02T12:01:39+00:00","Corners Over Under","Under 10.5","1.72","2022-04-02 14:17:48"
128,831769,"2022-04-02T12:01:39+00:00","Match Winner","Home","2.05","2022-04-02 14:17:49"
128,831769,"2022-04-02T12:01:39+00:00","Match Winner","Draw","3.20","2022-04-02 14:17:49"
128,831769,"2022-04-02T12:01:39+00:00","Match Winner","Away","4.00","2022-04-02 14:17:49"
128,831769,"2022-04-02T12:01:39+00:00","Corners Over Under","Over 9.5","1.83","2022-04-02 14:17:49"
128,831769,"2022-04-02T12:01:39+00:00","Corners Over Under","Under 9.5","1.83","2022-04-02 14:17:49"
128,831771,"2022-04-02T12:01:39+00:00","Match Winner","Home","2.30","2022-04-02 14:17:50"
128,831771,"2022-04-02T12:01:39+00:00","Match Winner","Draw","3.10","2022-04-02 14:17:50"
128,831771,"2022-04-02T12:01:39+00:00","Match Winner","Away","3.30","2022-04-02 14:17:50"
128,831771,"2022-04-02T12:01:39+00:00","Corners Over Under","Over 9.5","1.72","2022-04-02 14:17:50"
128,831771,"2022-04-02T12:01:39+00:00","Corners Over Under","Under 9.5","2.00","2022-04-02 14:17:50"
128,831763,"2022-04-02T12:01:39+00:00","Match Winner","Home","4.50","2022-04-02 14:17:51"
128,831763,"2022-04-02T12:01:39+00:00","Match Winner","Draw","3.60","2022-04-02 14:17:51"
128,831763,"2022-04-02T12:01:39+00:00","Match Winner","Away","1.80","2022-04-02 14:17:51"
128,831763,"2022-04-02T12:01:39+00:00","Corners Over Under","Over 9.5","1.72","2022-04-02 14:17:51"
128,831763,"2022-04-02T12:01:39+00:00","Corners Over Under","Under 9.5","2.00","2022-04-02 14:17:51"
128,831762,"2022-04-02T00:01:38+00:00","Match Winner","Home","3.00","2022-04-02 14:17:52"
128,831762,"2022-04-02T00:01:38+00:00","Match Winner","Draw","3.00","2022-04-02 14:17:52"
128,831762,"2022-04-02T00:01:38+00:00","Match Winner","Away","2.62","2022-04-02 14:17:52"
128,831762,"2022-04-02T00:01:38+00:00","Corners Over Under","Over 9.5","1.83","2022-04-02 14:17:52"
128,831762,"2022-04-02T00:01:38+00:00","Corners Over Under","Under 9.5","1.83","2022-04-02 14:17:52"
128,831773,"2022-04-02T00:01:38+00:00","Match Winner","Home","5.00","2022-04-02 14:17:53"
128,831773,"2022-04-02T00:01:38+00:00","Match Winner","Draw","3.25","2022-04-02 14:17:53"
128,831773,"2022-04-02T00:01:38+00:00","Match Winner","Away","1.83","2022-04-02 14:17:53"
128,831773,"2022-04-02T00:01:38+00:00","Corners Over Under","Over 9.5","1.72","2022-04-02 14:17:53"
128,831773,"2022-04-02T00:01:38+00:00","Corners Over Under","Under 9.5","2.00","2022-04-02 14:17:53"
219,718098,"2022-04-02T12:02:44+00:00","Match Winner","Home","4.75","2022-04-02 14:17:54"
219,718098,"2022-04-02T12:02:44+00:00","Match Winner","Draw","4.20","2022-04-02 14:17:54"
219,718098,"2022-04-02T12:02:44+00:00","Match Winner","Away","1.65","2022-04-02 14:17:54"
219,718098,"2022-04-02T12:02:44+00:00","Corners Over Under","Over 9.5","1.73","2022-04-02 14:17:54"
219,718098,"2022-04-02T12:02:44+00:00","Corners Over Under","Under 9.5","2.00","2022-04-02 14:17:54"
219,718098,"2022-04-02T12:02:44+00:00","Corners Over Under","Over 10","1.98","2022-04-02 14:17:54"
